IBU,alcohol,country,detail,image,importer,name_en,name_ko,producers_en,producers_ko,style_en,style_ko
38,7.5도,체코,"모라비아 몰트의 고소하면서도 강한맛과 은은한 곡물향이 어우러진 스트롱 라거이다.  
병 330㎖  6,000 ~ 7,000원  체코비어인터내셔널
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500019.jpg?369218,체코비어인터내셔널,Exkluziv 16% ,익스클루지브 16% ,Primator,프리마토,Strong Lager,스트롱 라거
23,7도,미국,"전체적으로 향과 맛이 풍부하고 질감이 크리미하며 몰티한 스타일이다. Hallertau 홉의 풍부하고 진한 맛과 부드러운 질감이 균형을 이룬다. 블론드 복 맥주는 1600년대 독일 수도사들이 엄격한 단식기간을 견뎌내기 위해 만들어 마셨던 역사적인 일화로 유명하다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500020.jpg?359426,신세계 엘앤비,Gordon Biersch Blonde Bock  ,고든 비어쉬 블론드 복 ,Gordon Biersch,고든 비어쉬,Maibock,마이복
-,5도,미국,"전형적인 캘리포니아 스타일의 페일 에일 맥주로 진한 황금색을 띠고 있으며 Cascade 홉에서 나는 시트러스, 소나무 향이 산뜻하고 경쾌하게 느껴진다. 몰티한 느낌의 바디감, 풍부한 향과 함께 살짝 캐러멜화 된 몰트의 여운, 페일 에일 특유의 쌉쌀한 맛이 매력적이다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500021.jpg?459697,신세계 엘앤비,Gordon Biersch Pale Ale ,고든 비어쉬 페일 에일 ,Gordon Biersch,고든 비어쉬,Pale Ale,페일 에일
12,5.5도,미국,"필터링을 하지 않은 바바리안 스타일의 밀 맥주이다. 풍부한 기포와 시트러스, 바나나, 달콤한 풍선 껌, 정향의 향긋한 아로마는 모두 상면발효 효모에서 자연적으로 얻어진 결과물이다. 현재 바이에른이라 부르는 바바리아 지방에서는 일요일 오전 미사를 드린 후 흰 소시지나 갓 구운 프레첼에 곁들여 밀 맥주를 마시는 것이 전통이었다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500022.jpg?399818,신세계 엘앤비,Gordon Biersch Hefeweizen    ,고든 비어쉬 헤페바이젠 ,Gordon Biersch,고든 비어쉬,Hefeweizen,헤페바이젠
30,5.2도,미국,"쌉쌀한 맛과 플로럴 아로마의 균형을 세심하게 맞추기 위해 Bavarian Hallertau와 Tettnang 홉을 수입해 양조했다. 그 결과 개성 있는 맛과 향, 산뜻한 여운과 계속 마시고 싶게 만드는 맥주를 만들어 냈다. 필스너 맥주는 1842년 체코의 필젠(Pilsen)에서 탄생했는데, 체코의 수도사가 독일에서 효모를 몰래 가져와 만들었다고 한다. 그 전의 체코 맥주는 모두 어둡거나 불투명한 색을 지니고 있었는데 이 맥주를 처음으로 밝은 컬러의 맥주를 생산하게 됐다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500024.jpg?627474,신세계 엘앤비,Gordon Biersch Czech Style Pilsner   ,고든 비어쉬 체코 스타일 필스너 ,Gordon Biersch,고든 비어쉬,Pilsner,필스너
18,5.8도,미국,"어둡게 로스팅해 캐러멜화 된 뮌헨 몰트의 강렬한 향과 맛을 가진 개성 있는 맥주이다. 마르젠은 옥토버페스트 축제에서 루드비히 왕과 마리다 테레사 여왕의 혼인을 축하하며 마셨던 스토리를 갖고 있다. 독일어로 Marz는 3월을 뜻한다. 봄에 양조해 여름 내내 마시는 맥주로, 너무 차지 않게 보관해 붉은 육류요리나 미트소스 파스타, 따뜻한 스튜 등과 곁들여 마신다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500023.jpg?630791,신세계 엘앤비,Gordon Biersch Marzen  ,고든 비어쉬 마르젠 ,Gordon Biersch,고든 비어쉬,Dark Lager,다크 라거
20,5도,미국,"깔끔하고 산뜻하게 마실 수 있는 전형적인 라거 맥주다. 골든 엑스포트는 1870년대 독일에서 처음 만들기 시작한 이후 지금도 가장 인기 있는 카테고리 중 하나다. 당시 인기가 좋아 독일 밖으로 수출되던 몇 안 되는 주류 품목으로 ‘엑스포트(수출)’이라는 명칭을 사용하게 됐다. 경쾌한 라거 스타일이라 어떤 음식과 매칭해도 무난하게 잘 어울린다.  
병 355㎖  5,000 ~ 6,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500025.jpg?674669,신세계 엘앤비,Gordon Biersch Golden Export ,고든 비어쉬 골든 엑스포트 ,Gordon Biersch,고든 비어쉬,Lager,라거
-,7.9도,프랑스,"상면발효 후 홉을 추가한 버전이다. 마스터 브루어가 엄선한 독일 산 “판타지아 홉”으로 양조해 크리미한 질감과 프루티한 노트, 약간의 캐러멜 여운이 느껴지는 맥주다. 페일 몰트, 캐러멜 몰트를 사용했으며 보리맥아, 밀, 쌀 등 세 종류의 곡물로 만든다. 고수와 오렌지 필을 첨가해 상큼한 살구 향과 달콤한 여운이 남는다.  
병 330㎖  8,000 ~ 9,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500026.jpg?701740,신세계 엘앤비,G de Goudale Grand Cru Fantasia,G 드 구달 그랑크루 판타지아,La Goudale,라 구달,India Pale Ale(IPA),인디아 페일 에일
-,7.2도,프랑스,"전통적인 영국 IPA의 스타일을 구현한 맥주로, 홉 향을 즐기는 사람들을 위한 맥주다. 황금색을 띠고 있으며 시트러스, 열대과일 향과 자몽처럼 달콤 쌉쌀한 맛을 느낄 수 있다. 미국 워싱턴 주 Yakima 평원에서 재배한 몇 가지 홉을 넣어 이국적인 향과 강한 쓴맛을 즐길 수 있는 스타일이다.  
병 330㎖  7,000 ~ 8,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500027.jpg?728748,신세계 엘앤비,La Goudale IPA,라 구달 아이이피에이,La Goudale,라 구달,India Pale Ale(IPA),인디아 페일 에일
-,7.2도,프랑스,"전통적인 상면발효방식으로 만든 블론드 비어이다. 페일 몰트, 캐러멜 몰트에 세 가지 플랑드르 홉, 고수와 오렌지 필을 첨가해 향긋함을 더했다. 보리, 밀, 쌀 등 세 종류 곡물을 사용해 밝고 경쾌하면서 편안하게 즐길 수 있는 스타일이다. 상큼한 과일 향과 입 안에서 쌉쌀한 허브, 과일, 곡물의 맛이 느껴진다.  
병 330㎖  7,000 ~ 8,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500028.jpg?764983,신세계 엘앤비,La Goudale Blonde Ale,라 구달 블론드 에일,La Goudale,라 구달,Blonde Ale,블론드 에일
60,6.4도,호주,"영국, 호주, 미국, 뉴질랜드의 다양한 홉을 사용해 패션프룻, 자몽의 달콤하고 쌉쌀한 향과 아니스의 스파이시한 아로마, 부드럽게 다듬어진 맛과 길고 쌉쌀한 여운을 즐길 수 있다. 강인한 스타일의 IPA 맥주로 클래식한 영국 스타일이나 시트러스가 많이 강조된 미국식이 아니라 리틀 크래쳐스만의 스타일을 찾아냈다. 홉의 다채로움을 즐길 수 있다.  
병 330㎖  6,000 ~ 7,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500029.jpg?817065,신세계 엘앤비,Little Creatures Brewing India Pale Ale,리틀 크래쳐스 브루잉 인디아 페일 에일,Little Creatures Brewing,리틀 크래쳐스 브루잉,India Pale Ale(IPA),인디아 페일 에일
-,5.2도,호주,"진한 시트러스 향과 신선한 각종 과일 향이 몰트 향과 조화를 이루어 산뜻한 맛과 향, 쌉쌀한 여운을 느낄 수 있는 크래프트 맥주다. 전 세계 각국에서 엄선해 가져온 스페셜티 몰트와 호주 페일 몰트를 적절히 블렌딩했으며 방부제나 첨가물이 들어가지 않아 맥주 고유의 신선한 맛을 즐길 수 있다.  
병 330㎖  6,000 ~ 7,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500032.jpg?936609,신세계 엘앤비,Little Creatures Pale Ale,리틀 크래쳐스 페일 에일,Little Creatures Brewing,리틀 크래쳐스 브루잉,American Pale Ale,아메리칸 페일 에일
-,4.5도,호주,"리틀 크래쳐스 브라이트 에일은 페일 에일처럼 살짝 쓴맛과 산뜻함을 즐길 수 있는 맥주이며, 약간 필터링 해 만든 버전이다. 브루어리에서는 이 맥주를 구대륙과 신대륙 각각의 에일 맥주 스타일의 장점을 모아 만든 하이브리드 맥주라고 부르며, 호주 현지에서는 'Truly Australian style ale(진짜 호주 스타일 에일)'이라고도 한다. 리틀 크래쳐스 페일 에일과 같이 맛과 향이 진하지만 일반 애호가들에게도 좀더 친근하게 다가갈 수 있는 스타일이며, 향긋함과 신선함을 느낄 수 있어 뜨거운 여름날 야외에서도 즐길 수 있는 에일 맥주다.  
병 330㎖  6,000 ~ 7,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500031.jpg?895725,신세계 엘앤비,Little Creatures Bright Ale,리틀 크래쳐스 브라이트 에일,Little Creatures Brewing,리틀 크래쳐스 브루잉,Ale,에일
-,5도,벨기에,"새콤달콤한 과일 향과 꽃 향기가 풍부한 밀맥주로 바이젠은 독일 바이에른 지방의 방식으로 만든 밀맥주를 뜻하며 최소 50%의 밀과 함께 보리를 섞어 상면발효방식으로 양조한다. 향긋한 오렌지, 바닐라 아로마와 풍부한 거품, 부드러운 맛을 갖고 있으며 부담스럽지 않고 어느 음식하고 곁들여도 잘 어울려 남녀노소 두루 좋아하는 스타일이며 특유의 상큼함 때문에 특히 여성들에게 인기 높다. 바이젠은 2013년 7월 국내 출시한 마튼즈 필스너 페트 맥주의 인기에 힘입어 2015년 1월 새로 출시된 라인이다. 마튼즈 필스너 페트는 2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주의 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다.  
페트 1000㎖  2,600 ~ 3,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500033.jpg?974929,신세계 엘앤비,Martens Weizen Pet,마튼즈 바이젠 페트,Martens,마튼즈,Weizen,바이젠
-,4.5도,호주,"오리지널 필스너는 리틀 크래쳐스 브루어리 설립 초창기부터 판매했던 대표 맥주 중 하나다. 최근 양조 레시피를 바꾼 후 독일 북부지방 라거 맥주의 맛에 가까워졌다. 일반적으로 독일 북부지방 맥주는 남부지방 맥주에 비해 홉의 맛이 더 진하고 쌉쌀하다. 약간의 플로럴 향과 스파이시한 홉의 향기, 가볍고 깔끔하며 마셨을 때 입안이 개운해지는 쌉쌀함이 매력적이다.  
병 330㎖  6,000 ~ 7,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500030.jpg?864576,신세계 엘앤비,Little Creatures Pilsner,리틀 크래쳐스 필스너,Little Creatures Brewing,리틀 크래쳐스 브루잉,Pilsner,필스너
-,5도,벨기에,"2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다.
엑스포트는 2013년 7월 국내 출시한 마튼즈 필스너 페트 맥주의 인기에 힘입어 2014년 4월 새로 출시된 라인이다. 기존 필스너 맥주에 비해 숙성기간이 더 길며 홉 비율이 낮아 진한 맥아향이 특징이다.  
페트 1000㎖  2,600 ~ 3,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500034.jpg?125828,신세계 엘앤비,Martens Export Pet,마튼즈 엑스포트 페트,Martens,마튼즈,Lager,라거
-,5도,벨기에,"2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다. 
벨지안 골드는 2013년 7월 국내 출시한 마튼즈 필스너 페트 맥주의 인기에 힘입어 2014년 4월 새로 출시된 라인이다. 정통 라거 맥주 양조방식으로 만들었으며 기존 필스너에 비해 탄산의 청량감이 뛰어나고 맥주 특유의 쓴 맛은 덜해 부드러운 목넘김이 특징이다.  
페트 1000㎖  -  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500035.jpg?153080,신세계 엘앤비,Martens Belgian Gold Pet,마튼즈 벨지안 골드 페트,Martens,마튼즈,Lager,라거
-,5도,벨기에,"다크 브라운 컬러에 황갈색의 크리미한 거품을 갖고 있으며 입안에서 느껴지는 두드러지는 몰트 맛과 신선한 호프의 맛이 복합적으로 느껴진다. 국내 최저가 수입맥주로 선풍적인 인기를 얻었던 윌리안브로이 브랜드에서 2013년 12월 새로 출시한 다크 라거 맥주이다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500036.jpg?095529,신세계 엘앤비,Willianbrau Dark Lager,윌리안브로이 다크 라거,Martens,마튼즈,Dark Lager,다크 라거
-,4.9도,벨기에,"밝은 호박색과 크리미한 헤드, 호프 특유의 쌉쌀한 맛이 특징이다. 알트 에일은 독일 뒤셀도르프 지방의 양조법으로 상면발효 방식으로 만들어진 에일 방식의 맥주를 일컫는 말이다. 국내 최저가 수입맥주로 선풍적인 인기를 얻었던 윌리안브로이 브랜드에서 2013년 12월 새로 출시한 에일 방식 맥주이다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500037.jpg?180480,신세계 엘앤비,Willianbrau Alt Ale,윌리안브로이 알트 에일,Martens,마튼즈,Alt Ale,알트 에일
-,5도,벨기에,"정통 라거 맥주 양조방식으로 만들어져 황금빛 색깔과 라거 맥주 특유의 강렬한 호프 향, 적당한 탄산을 가지고 있다. 마튼즈 社의 노하우로 부드러운 목넘김과 깔끔한 청량감이 뛰어나다. 2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다.  
페트 1000㎖  2,600 ~ 3,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500038.jpg?352796,신세계 엘앤비,Martens Pilsner Pet,마튼즈 필스너 페트,Martens,마튼즈,Pilsner,필스너
-,2.5도,벨기에,"""""라들러""""는 독일 남부지방에서 즐겨 마시는 맥주와 레모네이드를 혼합한 음료이다. 독일어로 '자전거를 타는 사람(Fahrrad, 줄여서 Rad)'이라는 뜻으로, 알코올 도수가 낮고 청량감이 좋아 음용 후 자전거를 탈 수 있다는 뜻에서 유래했다고 전해진다. 마튼즈 라들러는 정제수, 보리맥아, 홉을 발효 및 숙성해 만든 맥주 완제품과 자연산 레몬 향을 넣은 레모네이드 완제품을 일정 비율(약 5:5)로 혼합해 완제품으로 즐길 수 있다. 기존에는 맥주 전문점이나 호텔 바 등을 중심으로 칵테일로 판매되었으며 완제품으로 국내에 출시한 것은 마튼즈 라들러가 최초이다. 보리맥아와 홉의 풍부한 향과 함께 신선한 레몬의 향긋함이 더해져 적당한 탄산과 함께 청량감 있게 마실 수 있으며, 알코올 도수가 낮아 술을 못하는 여성이나 야외활동 시에도 부담 없이 즐길 수 있다.  
캔 500㎖  1,000 ~ 1,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500039.jpg?292150,신세계 엘앤비,Martens Radler,마튼즈 라들러,Martens,마튼즈,Radler,라들러
-,5도,벨기에,"하면발효로 만든 후 장기숙성으로 인해 필스 라거보다 더 부드러운 스타일이다. 풍부한 거품과 잘 숙성된 황금빛, 균형 잡힌 몰트와 호프의 배율로 목넘김이 좋다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500040.jpg?262862,신세계 엘앤비,Damburger Export,담버거 엑스포트,Martens,마튼즈,Lager,라거
-,5도,벨기에,"황금빛깔과 부드러운 거품, 필스 라거 맥주의 특징인 기분 좋은 쓴맛과 풍부한 호프 향을 가진 맥주로 단맛이 적은 맥주를 선호하는 사람에게 추천할 만하다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500041.jpg?323157,신세계 엘앤비,Hackenberg Pils Lager,하켄버그 필스 라거,Martens,마튼즈,Lager,라거
-,5도,벨기에,"새콤달콤한 과일 향과 꽃 향기가 풍부한 밀맥주로 국내 최저가 수입맥주로 론칭되어 폭발적인 반응을 얻고 있으며 특히 여성들에게 인기 높다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500042.jpg?427896,신세계 엘앤비,Willianbrau Weizen,윌리안브로이 바이젠,Martens,마튼즈,Weizen,바이젠
-,5도,벨기에,"유럽 현지 대형할인점을 중심으로 맛과 품질에 있어 이미 대중성을 인정 받은 상품이다. 필스너 특유의 호프 향과 부드러운 목넘김, 깔끔한 맛을 지녔다.  
캔 500㎖  2,000 ~ 2,500원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500043.jpg?458223,신세계 엘앤비,Martens Pilsner,마튼즈 필스너,Martens,마튼즈,Pilsner,필스너
-,4.8도,독일,"독일 필스너 맥주를 대표하는 바르슈타이너 프리미엄 베룸은 부드러운 맛과 풍부한 호프의 향, 크리미한 헤드, 쌉쌀한 여운을 지녔다. 고품질의 재료만을 사용해 양조했으며 우아하고 깨끗한 맛으로 '맥주의 여왕' 혹은 '미스 독일'이라는 별칭을 갖고 있다.  
캔 500㎖  3,300원  신세계 엘앤비
병 330㎖  3,900원  신세계 엘앤비
케그 5,000㎖  40,000원  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500045.jpg?724514,신세계 엘앤비,Warsteiner Premium Pilsner,바르슈타이너 프리미엄 필스너,Warsteiner,바르슈타이너,Pilsner,필스너
55,6.8도,미국,"베이스 캠프 브루잉의 플래그쉽 맥주로 황갈색을 띠고 있으며 크리스피하고 산뜻한 라거 맥주의 캐릭터와 복합적이고 무게감 있는 특성이 균형을 이루고 있다. 드라이 홉과 직접 토스팅한 화이트 오크, 레드 오크에 숙성했다. 홉 특유의 야생 꽃 향기와 소나무 아로마, 몰티한 맛과 약간의 오크 뉘앙스를 갖고 있으며 산뜻하고 부드러운 여운이 인상적이다.  
병 650㎖  -  신세계 엘앤비
",https://www.wine21.com/img/WINE_MST/TITLE/0500000/W0500047.jpg?814645,신세계 엘앤비,Base Camp In Tents India Pale Lager,베이스 캠프 인텐스 인디아 페일 라거 ,Base Camp Brewing Company,베이스 캠프 브루잉 컴퍼니,India Pale Lager,인디아 페일 라거
